X,Y,OBJECTID,LLOC_ACCID,BARRI,MES,TOTAL_PERS,IL_LESOS,FERITS_LLE,FERITS_GRE,MORTS,CAUSA_ACCI,Any_dada,CODI_ENS,NOM_ENS
253427.214499999,5161338.8018,1,AV. ROMA  245,GRÀCIA,GENER,3,2,1,0,0,ENCALÇ,2014,811200000,Ajuntament de Manlleu
253481.756299999,5161743.9336,2,C. DOÑA BLANCA 49,VILAMIROSA,FEBRER,6,3,3,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
255574.003600001,5161184.9758,3,C. MIRALLES 76,LA SALUT,FEBRER,2,1,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
254001.161899999,5161956.4724,4,PG. SANT JOAN 202,ERM,FEBRER,4,3,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253729.882800002,5161382.9196,5,AV. ROMA 199,GRÀCIA,MARÇ,3,0,3,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253923.200300001,5162319.5474,6,C. PINTOR GUARDIA 96,ERM,ABRIL,3,1,2,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253944.338500001,5161056.422,7,PG. DOCTOR JOAN OLIVERAS 132,BAIX VILA,ABRIL,5,3,2,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
255273.706599999,5160911.5004,8,C. CAVALLERIA 113,LA SALUT,ABRIL,1,0,1,0,0,SORTIDA VIA-CAIGUDA,2014,811200000,Ajuntament de Manlleu
254424.730300002,5161276.4132,9,PG. SANT JOAN 96,EL PUIG,JULIOL,3,2,1,0,0,ENCALÇ,2014,811200000,Ajuntament de Manlleu
254481.162300002,5161168.6249,10,CTRA. OLOT 1,EL PUIG,JULIOL,5,3,2,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253727.839499999,5160903.4841,11,C. RUSIÑOL 21,BAIX VILA,JULIOL,2,1,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253606.316599999,5161138.4682,12,AV. DIPUTACIO 94,GRÀCIA,AGOST,1,0,1,0,0,SORTIDA VIA-CAIGUDA,2014,811200000,Ajuntament de Manlleu
253873.778000001,5160650.875,13,PG. TER 29,BAIX VILA,JUNY,5,3,2,0,0,XOC AMB OBJECTE FIX,2014,811200000,Ajuntament de Manlleu
255584.567600001,5161427.949,14,AV. GARROTXA 21,LA SALUT,MARÇ,2,1,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
254455.234299999,5160607.6228,15,PONT DE CAN MOLAS,VISTA ALEGRE,AGOST,2,1,1,0,0,ENCALÇ,2014,811200000,Ajuntament de Manlleu
255595.769400001,5161302.3898,16,AV. GARROTXA 1,LA SALUT,SETEMBRE,2,1,1,0,0,SORTIDA VIA-CAIGUDA,2014,811200000,Ajuntament de Manlleu
253746.052999999,5161056.358,17,C. VILAMIROSA 12,BAIX VILA,JULIOL,2,0,2,0,0,XOC AMB OBJECTE FIX,2014,811200000,Ajuntament de Manlleu
254429.208900001,5161252.5264,18,PG. SANT JOAN 90,EL PUIG,OCTUBRE,3,2,1,0,0,COL·LISIÓ MÚLTIPLE,2014,811200000,Ajuntament de Manlleu
254661.722199999,5161107.6751,19,C.CAVALLERIA 40,CAVALLERIA,NOVEMBRE,2,1,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
254410.3565,5161354.6415,20,PG. SANT JOAN 110,EL PUIG,OCTUBRE,3,1,2,0,0,COL·LISIÓ MÚLTIPLE,2014,811200000,Ajuntament de Manlleu
255135.917100001,5161969.4221,21,C. SALVADOR JUNCADELLA 26,EL VERDAGUER,DESEMBRE,2,1,1,0,0,ENVESTIDA LATERAL,2014,811200000,Ajuntament de Manlleu
253921.449099999,5161225.2062,22,"C. PUIGSACALM, 13",NOU,GENER,3,2,1,0,0,COL·LISIÓ MÚLTIPLE,2015,811200000,Ajuntament de Manlleu
255443.322299998,5161930.4572,23,"C. FRANCESC PUGET MONTFORT, 33",EL VERDAGUER,GENER,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254801.072099999,5161261.3346,24,"CTRA. OLOT, 50",CAVALLERIA,FEBRER,3,0,3,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254964.695099998,5162336.5289,25,"C. JOAN MARAGALL, 31",LA COROMINA,FEBRER,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
253663.727899998,5162271.8859,26,"C. VILAMIROSA, 149",VILAMIROSA,MARÇ,1,0,1,0,0,XOC AMB OBJECTE FIX,2015,811200000,Ajuntament de Manlleu
254288.098999999,5161573.8008,27,"AV. ROMA, 114",ERM,MARÇ,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254458.467,5161053.2228,28,"PG. SANT JOAN, 63",BAIX VILA,MARÇ,3,2,1,0,0,COL·LISIÓ MÚLTIPLE,2015,811200000,Ajuntament de Manlleu
254410.526700001,5161606.7941,29,"AV. ROMA, 99",ERM,MARÇ,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
253792.760200001,5162219.4847,30,"PG. SANT JOAN, 272",ERM,ABRIL,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254977.023600001,5162070.0443,31,"C. SOGORB, 84",LA COROMINA,MAIG,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254217.388799999,5160303.6324,32,"VIA AUSETANIA, 15",VISTA ALEGRE,MAIG,3,0,3,0,0,SORTIDA VIA-CAIGUDA,2015,811200000,Ajuntament de Manlleu
255451.088399999,5161938.071,33,"C. FRANCESC PUGET MONTFORT, 33",EL VERDAGUER,MAIG,2,1,0,1,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254480.1829,5160958.7216,34,"PG. SANT JOAN, 42",CAVALLERIA,JUNY,4,2,2,0,0,ENCALÇ,2014,811200000,Ajuntament de Manlleu
254480.529300001,5160954.84,35,"PG. SANT JOAN, 42",CAVALLERIA,JUNY,4,2,2,0,0,ENCALÇ,2015,811200000,Ajuntament de Manlleu
254966.5792,5162327.4221,36,"C. JOAN MARAGALL, 31",LA COROMINA,JUNY,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
255093.775199998,5162158.1261,37,"C. SOGORB, 89",LA COROMINA,JUNY,3,1,2,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254301.636799999,5161694.428,38,"C. PERICAS, 8",ERM,JUNY,2,1,1,0,0,ENCALÇ,2015,811200000,Ajuntament de Manlleu
254167.913800001,5161712.6415,39,"PG. SANT JOAN, 158",ERM,JULIOL,3,2,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
255302.660300002,5162116.3246,40,"C. FRANCESC PUGET MONTFORT, 57",EL VERDAGUER,JULIOL,2,0,2,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
254570.1965,5162031.2286,41,"PL. PLA DELS ALBERS, 26",ERM,JULIOL,2,1,1,0,0,ENVESTIDA LATERAL,2015,811200000,Ajuntament de Manlleu
253994.533199999,5160154.9385,42,"VIA AUSETANIA, 37",VISTA ALEGRE,JULIOL,1,0,1,0,0,SORTIDA VIA-CAIGUDA,2015,811200000,Ajuntament de Manlleu
254295.918099999,5161574.0993,43,"AV. ROMA, 114",ERM,AGOST,3,1,2,0,0,FREGAMENT,2015,811200000,Ajuntament de Manlleu
253796.646000002,5162186.1927,44,"PG. SANT JOAN, 247",VILAMIROSA,SETEMBRE,3,2,1,0,0,ENCALÇ,2015,811200000,Ajuntament de Manlleu
253956.217300002,5161995.6973,45,"PG. SANT JOAN, 208",ERM,SETEMBRE,1,0,1,0,0,XOC AMB OBJECTE FIX,2015,811200000,Ajuntament de Manlleu
254430.572799999,5160398.8715,46,"VIA AUSETANIA, 5",VISTA ALEGRE,SETEMBRE,3,2,1,0,0,ENCALÇ,2015,811200000,Ajuntament de Manlleu
